x_ethanol,Tbub,y_ethanol,Tdew
0.830363,352.068,0.830363,352.952
0.8312,352.061,0.8312,352.929
0.832036,352.055,0.832036,352.906
0.832871,352.049,0.832871,352.883
0.833703,352.043,0.833703,352.861
0.834534,352.037,0.834534,352.839
0.835363,352.031,0.835363,352.817
0.83619,352.025,0.83619,352.795
0.837016,352.019,0.837016,352.774
0.83784,352.013,0.83784,352.753
0.838662,352.007,0.838662,352.732
0.839483,352.001,0.839483,352.711
0.840302,351.995,0.840302,352.691
0.841119,351.989,0.841119,352.671
0.841934,351.983,0.841934,352.651
0.842748,351.977,0.842748,352.631
0.843561,351.972,0.843561,352.612
0.844371,351.966,0.844371,352.593
0.84518,351.96,0.84518,352.574
0.845988,351.954,0.845988,352.556
0.846793,351.949,0.846793,352.537
0.847597,351.943,0.847597,352.519
0.8484,351.938,0.8484,352.501
0.849201,351.932,0.849201,352.484
0.85,351.926,0.85,352.466
0.75,352.713,0.75,356.134
0.750858,352.706,0.750858,356.094
0.751715,352.698,0.751715,356.055
0.75257,352.691,0.75257,356.015
0.753424,352.684,0.753424,355.976
0.754276,352.677,0.754276,355.936
0.755126,352.67,0.755126,355.897
0.755975,352.663,0.755975,355.858
0.756822,352.656,0.756822,355.819
0.757667,352.649,0.757667,355.78
0.758511,352.642,0.758511,355.741
0.759353,352.635,0.759353,355.703
0.760194,352.628,0.760194,355.664
0.761033,352.621,0.761033,355.626
0.76187,352.614,0.76187,355.587
0.762706,352.607,0.762706,355.549
0.76354,352.6,0.76354,355.511
0.764373,352.593,0.764373,355.473
0.765204,352.586,0.765204,355.435
0.766033,352.579,0.766033,355.397
0.766861,352.573,0.766861,355.36
0.767687,352.566,0.767687,355.322
0.768512,352.559,0.768512,355.285
0.769335,352.552,0.769335,355.248
0.770157,352.545,0.770157,355.211
0.770977,352.539,0.770977,355.174
0.771796,352.532,0.771796,355.137
0.772613,352.525,0.772613,355.101
0.773428,352.518,0.773428,355.064
0.774242,352.512,0.774242,355.028
0.775055,352.505,0.775055,354.992
0.775866,352.498,0.775866,354.956
0.776675,352.492,0.776675,354.921
0.777483,352.485,0.777483,354.885
0.77829,352.478,0.77829,354.85
0.779095,352.472,0.779095,354.815
0.779898,352.465,0.779898,354.78
0.7807,352.459,0.7807,354.745
0.7815,352.452,0.7815,354.71
0.782299,352.446,0.782299,354.676
0.783097,352.439,0.783097,354.642
0.783893,352.433,0.783893,354.608
0.784687,352.426,0.784687,354.574
0.78548,352.42,0.78548,354.541
0.786272,352.413,0.786272,354.507
0.787062,352.407,0.787062,354.474
0.787851,352.4,0.787851,354.441
0.788638,352.394,0.788638,354.409
0.789424,352.388,0.789424,354.376
0.790208,352.381,0.790208,354.344
0.790991,352.375,0.790991,354.312
0.791772,352.369,0.791772,354.28
0.792552,352.362,0.792552,354.248
0.793331,352.356,0.793331,354.217
0.794108,352.35,0.794108,354.186
0.794884,352.344,0.794884,354.155
0.795658,352.337,0.795658,354.124
0.796431,352.331,0.796431,354.094
0.797202,352.325,0.797202,354.064
0.797972,352.319,0.797972,354.034
0.798741,352.313,0.798741,354.004
0.799508,352.307,0.799508,353.975
0.800274,352.3,0.800274,353.945
0.801039,352.294,0.801039,353.916
0.801802,352.288,0.801802,353.888
0.802563,352.282,0.802563,353.859
0.803324,352.276,0.803324,353.831
0.804083,352.27,0.804083,353.803
0.80484,352.264,0.80484,353.775
0.805597,352.258,0.805597,353.747
0.806351,352.252,0.806351,353.72
0.807105,352.246,0.807105,353.693
0.807857,352.24,0.807857,353.666
0.808608,352.234,0.808608,353.64
0.809357,352.229,0.809357,353.613
0.810105,352.223,0.810105,353.587
0.810852,352.217,0.810852,353.561
0.811597,352.211,0.811597,353.535
0.812342,352.205,0.812342,353.51
0.813084,352.199,0.813084,353.485
0.813826,352.194,0.813826,353.46
0.814566,352.188,0.814566,353.435
0.815305,352.182,0.815305,353.411
0.816042,352.176,0.816042,353.386
0.816778,352.171,0.816778,353.362
0.817513,352.165,0.817513,353.339
0.818246,352.159,0.818246,353.315
0.818979,352.154,0.818979,353.292
0.81971,352.148,0.81971,353.269
0.820439,352.143,0.820439,353.246
0.821167,352.137,0.821167,353.223
0.821895,352.131,0.821895,353.2
0.82262,352.126,0.82262,353.178
0.823345,352.12,0.823345,353.156
0.824068,352.115,0.824068,353.134
0.82479,352.109,0.82479,353.113
0.82551,352.104,0.82551,353.091
0.82623,352.099,0.82623,353.07
0.826948,352.093,0.826948,353.049
0.827665,352.088,0.827665,353.029
0.82838,352.082,0.82838,353.008
0.829095,352.077,0.829095,352.988
0.829808,352.072,0.829808,352.968
0.830519,352.066,0.830519,352.948
0.83123,352.061,0.83123,352.928
0.831939,352.056,0.831939,352.908
0.832647,352.051,0.832647,352.889
0.833354,352.045,0.833354,352.87
0.83406,352.04,0.83406,352.851
0.834764,352.035,0.834764,352.832
0.835467,352.03,0.835467,352.814
0.836169,352.025,0.836169,352.796
0.83687,352.02,0.83687,352.777
0.83757,352.015,0.83757,352.759
0.838268,352.009,0.838268,352.742
0.838965,352.004,0.838965,352.724
0.839661,351.999,0.839661,352.707
0.840355,351.994,0.840355,352.69
0.841049,351.989,0.841049,352.672
